on|canada	Ontario
guanxi|china	Guangxi
jiangxi-fujian|china	Jiangxi
quinghai |china	Qinghai
szechuan (=sichuan)|china	Sichuan
setschuan|china	Sichuan
yunan|china	Yunnan
antioquiaÂ |colombia	Antioquia
cundanimarca|colombia	Cundinamarca
cundinamarca dept.|colombia	Cundinamarca
cundimarca|colombia	Cundinamarca
guajira|colombia	La Guajira
magdalenatal|colombia	Magdalena
quindio |colombia	Quindio
providencia|colombia	San Andres y Providencia
cordilera central|colombia	Tolima
valle|colombia	Valle del Cauca
costa rica|san hose	San Jose
cote d'ivoire|abijan	Abidjan
lika|croatia	Lika-Senj
primorsko-goranska zupanjia|croatia	Primorje-Gorski Kotar
gramna|cuba	Granma
sancti spiritus|cuba	Sancti-Spiritus
santiagi de cuba|cuba	Santiago de Cuba
villa calara|cuba	Villa Clara
pafos|cyprus	Paphos
czech republic|boh	Central Bohemia
czech republic|bohemia	Southern Bohemia
czech republic|moravia	Southern Moravia
czech republic|bohemia	Usti nad Labem
democratic republic of the congo|kasai_oriental	Kasai-Oriental
nordostsjÃ¦lland|denmark	Nordjylland
sjalland|denmark	Sjaelland
sjalland|denmark	Sjaelland
morona|ecuador	Morona-Santiago
morona santiago|ecuador	Morona-Santiago
morona-san-tiago|ecuador	Morona-Santiago
san rafael |ecuador	Napo
pinchincha|ecuador	Pichincha
zamora|ecuador	Zamora Chinchipe
zamora-chinchipe|ecuador	Zamora Chinchipe
laae-virumaa|estonia	Laane-Virumaa
gondar|ethiopia	Gonder
enontekion lappi|finland	Lapland
llapland|finland	Lapland
north ostrobothnia|finland	Northern Ostrobothnia
pohjois-pohjanmaa|finland	Northern Ostrobothnia
bretagne (fr)|france	Brittany
bretagne|france	Brittany
bourgogne|france	Burgundy
champagne-ardennes|france	Champagne-Ardenne
korsika|france	Corsica
corse|france	Corsica
eure|france	Haute Normandie
ile de france|france	Ile-de-France
ile-de-france (fr)|france	Ile-de-France
llanguedoc-rousillon|france	Languedoc-Roussillon
meurthe et moselle|france	Lorraine
midi pyrenees|france	Midi-Pyrenees
midi-pyreneesÂ |france	Midi-Pyrenees
pas-de-calais|france	Nord-Pas-de-Calais
nord-pas de calais|france	Nord-Pas-de-Calais
main and loire|france	Pays de la Loire
pays-de-la-loire|france	Pays de la Loire
picardie|france	Picardy
poitou-charente|france	Poitou-Charentes
provence alpes|france	Provence-Alpes-Cote d'Azur
provence-alpes-cote dâ€™azur|france	Provence-Alpes-Cote d'Azur
bouche du rhone|france	Provence-Alpes-Cote d'Azur
provence-alpes-cote- d'azur (fr)|france	Provence-Alpes-Cote d'Azur
provence-alpes cote dÂ´azur|france	Provence-Alpes-Cote d'Azur
provence-alps|france	Provence-Alpes-Cote d'Azur
ardeche|france	Rhone-Alpes
ardeche|france	Rhone-Alpes
rhone alpes|france	Rhone-Alpes
french guiana|chayenne	Cayenne
french polynesia|gambier archipelago	Gambier Islands
ogoue - ivindo|gabon	Ogooue-Ivindo
ogooue ivindo|gabon	Ogooue-Ivindo
bw|germany	Baden-Wuerttemberg
baden-wuerttemberg-wuerttemberg|germany	Baden-Wuerttemberg
baden-wurttemberg|germany	Baden-Wuerttemberg
baden-wuertemberg|germany	Baden-Wuerttemberg
baden wurttemberg|germany	Baden-Wuerttemberg
bayern|germany	Bavaria
oberbayern|germany	Bavaria
unterfranken|germany	Bavaria
bavaria |germany	Bavaria
land brandenburg|germany	Brandenburg
brandeburg |germany	Brandenburg
mecklenburg-vorpommem|germany	Mecklenburg-Vorpommern
mecklenburg-vorpommen|germany	Mecklenburg-Vorpommern
mecklenburg-western pomerania|germany	Mecklenburg-Vorpommern
lower saxony|germany	Niedersachsen
nordhein-westfalen|germany	North Rhine-Westphalia
north-rhine-westphalia|germany	North Rhine-Westphalia
northrhine-westphalia|germany	North Rhine-Westphalia
nordrhein|germany	North Rhine-Westphalia
westfalen|germany	North Rhine-Westphalia
northrhine westphalia|germany	North Rhine-Westphalia
palatinate|germany	Rhineland Palatinate
rheinland|germany	Rhineland Palatinate
rheinland-pfalz|germany	Rhineland Palatinate
pfalz|germany	Rhineland Palatinate
rhineland-palatinate|germany	Rhineland Palatinate
saxony|germany	Sachsen
saxonia|germany	Sachsen
sachsen - anhalt|germany	Saxony-Anhalt
saxonz-anhalt|germany	Saxony-Anhalt
sachsen-anhalt|germany	Saxony-Anhalt
schleswig holstein|germany	Schleswig-Holstein
thuringen|germany	Thuringia
thuringen|germany	Thuringia
thueringen|germany	Thuringia
attika|greece	Attica
chaichidild|greece	East Macedonia and Thrace
chalchidiki|greece	East Macedonia and Thrace
anatoliki makedonia kai thraki|greece	East Macedonia and Thrace
epiros|greece	Epirus
peloponissos|greece	Peloponnese
peloponnes |greece	Peloponnese
peloponnes|greece	Peloponnese
peloponnisos (el)|greece	Peloponnese
s-aegean|greece	South Aegean
thessalia|greece	Thessaly
cuyuni- mazaruni district|guyana	Cuyuni-Mazaruni
potaro-siparuni district|guyana	Potaro-Siparuni
siparuni|guyana	Potaro-Siparuni
vezprem|hungary	Veszprem
vezprem|hungary	Veszprem
andaman islands|india	Andaman and Nicobar
andra pradesh|india	Andhra Pradesh
chhatishgarh|india	Chhattisgarh
gujarath|india	Gujarat
gujrat|india	Gujarat
gujrath|india	Gujarat
pondicherry|india	Maharashtra
meghalya|india	Meghalaya
odisha|india	Orissa
odissa|india	Orissa
rajashthan|india	Rajasthan
tamilnadu|india	Tamil Nadu
uttarakhand|india	Uttaranchal
bengal|india	West Bengal
java barat|indonesia	Jawa Barat
java island|indonesia	Jawa Barat
east java|indonesia	Jawa Timur
semnan province|iran	Semnan
prov. tehran|iran	Tehran
salah ad-din|iraq	Saladin
salah ad din|iraq	Saladin
as-sulaymaniyah|iraq	Sulaymaniyah
sulaimani|iraq	Sulaymaniyah
dublin|ireland	Dublin City
haifa district|israel	Haifa
hadarom|israel	Southern
southern district|israel	Southern
abruzzen|italy	Abruzzi
abruzzo|italy	Abruzzi
latina|italy	Campania
sorrento|italy	Campania
emilia romagna|italy	Emilia-Romagna
emiglia-romagna|italy	Emilia-Romagna
friul venezia|italy	Friuli-Venezia Giulia
lombardia|italy	Lombardy
lombardia, sondrio|italy	Lombardy
piemonte (it)|italy	Piedmont
piemont|italy	Piedmont
asti|italy	Piedmont
torino|italy	Piedmont
sardegna|italy	Sardinia
sicilia|italy	Sicily
sicilia (it)|italy	Sicily
sudtirol|italy	South Tyrol
tr.-alto adige|italy	Trentino-Alto Adige
trentino alto adige|italy	Trentino-Alto Adige
trento|italy	Trentino-Alto Adige
vinschgau|italy	Trentino-Alto Adige
toscana|italy	Tuscany
toskana|italy	Tuscany
venetien|italy	Veneto
vr-veneto|italy	Veneto
venezia |italy	Veneto
venetia|italy	Veneto
hokaido|japan	Hokkaido
honsyu|japan	Honshu
gunma|japan	Kanto
turgai|kazakhstan	Turgay
central province|kenya	Central
coast province|kenya	Coast
kabamega|kenya	Kakamega
kwale county|kenya	Kwale
laikipia county |kenya	Laikipia County
nairobi area|kenya	Nairobi
great rift valley|kenya	Rift Valley
rift-valley|kenya	Rift Valley
riftyvalley|kenya	Rift Valley
rifty valley|kenya	Rift Valley
osch|kyrgyzstan	Osh
attapeu prov.|laos	Attapu
bolikhamsai|laos	Bolikhamxay
houa phan|laos	Houaphan
hua phan|laos	Houaphan
huaphane|laos	Houaphan
khammouane|laos	Khammouan
luang prabang|laos	Louangphrabang
louang phrabang|laos	Louangphrabang
oudumaxi|laos	Oudomxai
antananariov|madagascar	Antananarivo
antsirinana|madagascar	Antsiranana
antsirananana|madagascar	Antsiranana
diego-suarez|madagascar	Antsiranana
fianarantosa|madagascar	Fianarantsoa
fianarantosoa|madagascar	Fianarantsoa
majunga|madagascar	Mahajanga
tulear|madagascar	Toliara
melaka|malaysia	Malacca
baja cal. n.|mexico	Baja California
baja california norte|mexico	Baja California
bcs|mexico	Baja California Sur
chis|mexico	Chihuahua
chiuahua|mexico	Chihuahua
d. f.|mexico	Distrito Federal
d.f.|mexico	Distrito Federal
d.f.|mexico	Distrito Federal
guerreo|mexico	Guerrero
hdalgo|mexico	Hidalgo
estado de mexico|mexico	Mexico State
estado de mexico|mexico	Mexico State
mexico|mexico	Mexico State
michoacan |mexico	Michoacan
oax.|mexico	Oaxaca
queretaro |mexico	Queretaro
archangay|mongolia	Arhangay
arkhangai|mongolia	Arhangay
arkhangay aimag|mongolia	Arhangay
bayanchongor|mongolia	Bayanhongor
bayankhongor aimag|mongolia	Bayanhongor
bayan-ulegey aymak|mongolia	Bayanolgiy
bayan-olgiy aimag|mongolia	Bayanolgiy
bayon-olgiy aimag|mongolia	Bayanolgiy
dornogovi|mongolia	Dorngovi
gov`-altay|mongolia	Govi-Altay
govi altai|mongolia	Govi-Altay
govi-altai aimag|mongolia	Govi-Altay
gobi|mongolia	Govi-Altay
hovd aimag|mongolia	Hovd
tov aymag|mongolia	Tov
dzavhan zavkhan|mongolia	Zavkhan
prov. zavkhan|mongolia	Zavkhan
fes-boulemane|morocco	Fes-Boulemane Region
fes-boulemane, sefrou|morocco	Fes-Boulemane Region
meknes-tafilalet, ifrane|morocco	Meknes-Tafilalet Region
meknes-tafillals m c. massarone|morocco	Meknes-Tafilalet Region
tadla-azilal|morocco	Tadla-Azilal Region
tangier-tetouan, assilah|morocco	Tangier-Tetouan Region
tangier-tetouan|morocco	Tangier-Tetouan Region
tangier-tetouan|morocco	Tangier-Tetouan Region
capo delgado|mozambique	Cabo Delgado
s. shan|myanmar	Shan
noord-brabant|netherlands	North Brabant
noord-holland|netherlands	North Holland
nordholland|netherlands	North Holland
zuid holland|netherlands	South Holland
ut|netherlands	Utrecht
ze|netherlands	Zeeland
taraka prov.|nigeria	Taraba
akershus |norway	Akershus
aust-agder |norway	Aust-Agder
aust agder|norway	Aust-Agder
aust-agder |norway	Aust-Agder
buskerud |norway	Buskerud
finnmark |norway	Finnmark
he[dmark]|norway	Hedmark
hedemark|norway	Hedmark
sor trondelag|norway	Hordaland
moere og romsdal|norway	More og Romsdal
more-og-romsdal|norway	More og Romsdal
nord-trondelag |norway	Nord-Trondelag
nord-trondelag|norway	Nord-Trondelag
nord-troendelag|norway	Nord-Trondelag
nord trondelag|norway	Nord-Trondelag
nordland |norway	Nordland
oppland |norway	Oppland
oppland |norway	Oppland
olso|norway	Oslo
oslo fylke|norway	Oslo
oslo |norway	Oslo
oestfold|norway	Ostfold
soer-troendelag|norway	Sor-Trondelag
sor trondelag|norway	Sor-Trondelag
sor-trondelag|norway	Sor-Trondelag
sor-trondelag |norway	Sor-Trondelag
vest agder|norway	Vest-Agder
vest-agder |norway	Vest-Agder
vestfold |norway	Vestfold
vest-fold|norway	Vestfold
zufar|oman	Dhofar
azad jammu kashmir|pakistan	Azad Kashmir
ajk|pakistan	Azad Kashmir
azk|pakistan	Azad Kashmir
balochistan|pakistan	Baluchistan
dir|pakistan	Khyber Pakhtunkhwa
kpkk|pakistan	Khyber Pakhtunkhwa
kpk|pakistan	Khyber Pakhtunkhwa
bocas|panama	Bocas Del Toro
clon|panama	Colon
panama, caribbean|panama	Panama
papua new guinea|new britain (e)	East New Britain
papua new guinea|east highlands	Eastern Highlands
papua new guinea|manus isl.	Manus
papua new guinea|morobe 	Morobe
papua new guinea|w new britain province	West New Britain
papua new guinea|new britain (w)	West New Britain
papua new guinea|western highland	Western Highlands
neuva asuncion|paraguay	Nueva Asuncion
nueva ascuncion|paraguay	Nueva Asuncion
arequipa prov|peru	Arequipa
cusco dept.|peru	Cuzco
cusco|peru	Cuzco
dpto. junin|peru	Junin
junin |peru	Junin
m. de dios|peru	Madre de Dios
madre de dios |peru	Madre de Dios
dept. madre de dios|peru	Madre de Dios
dpto. pasco|peru	Pasco
pucallpa|peru	Ucayali
cayagan|philippines	Cagayan Valley
batangas |philippines	Calabarzon
laguna|philippines	Calabarzon
quezon|philippines	Calabarzon
rizal|philippines	Calabarzon
aurora 2007|philippines	Central Luzon
luzon|philippines	Central Luzon
leyte |philippines	Eastern Visayas
guiuan|philippines	Eastern Visayas
oriental mindoro|philippines	Mimaropa
mindoro|philippines	Mimaropa
mindanao|philippines	Mindanao Island
metro manila|philippines	National Capital Region
manila|philippines	National Capital Region
metropolitan manila|philippines	National Capital Region
ilolo|philippines	Western Visayas
lubelskie|poland	Lublin
podlasie, fb89|poland	Podlaskie
pomorskie|poland	Pomeranian
podkarpackie|poland	Subcarpathian
pico, azores|portugal	Azores
santa maria, azores|portugal	Azores
sao miguel, azores|portugal	Azores
castello branco|portugal	Castelo Branco
carlibaba|romania	Suceava
republic of adygea|russia	Adygeya
altay|russia	Altai Krai
archangelsk|russia	Arkhangelsk
astrakhanâ€™ region|russia	Astrakhan
respublika buryatiya|russia	Buryatiya
buryatia|russia	Buryatiya
repblic of buryatia|russia	Buryatiya
cheljabinsk|russia	Chelyabinsk
cheliabinsk oblast|russia	Chelyabinsk
chelyabinsk region|russia	Chelyabinsk
chukotka aut. okrug|russia	Chukot Autonomous Okrug
irkutskaja|russia	Irkutsk
jewish autonomous region|russia	Jewish Autonomous Oblast
kalmykia|russia	Kalmykiya
karachaevo-cherkessiya|russia	Karachay-Cherkessia
russian carelia|russia	Karelia
khabarovskiy kray|russia	Khabarovsk Krai
khabarovsk|russia	Khabarovsk Krai
northwestern federal distric|russia	Komi
krasnodarskiy kray|russia	Krasnoyarsk Krai
krasnodarskiy kray|russia	Krasnoyarsk Krai
krasnoyarskiy kray|russia	Krasnoyarsk Krai
krasnoyarsky|russia	Krasnoyarsk Krai
krasnodarskii krai|russia	Krasnoyarsk Krai
lipetsk oblast|russia	Lipetsk
nizhniy novgorod oblast|russia	Nizhniy Novgorod
novgorod oblast|russia	Novgorod
novgorodskaya oblast,|russia	Novgorod
novosibirsk region|russia	Novosibirsk
novosibirskaya|russia	Novosibirsk
primorkiy kray|russia	Primorsky Krai
primorskiy|russia	Primorsky Krai
primorya|russia	Primorsky Krai
primorsky|russia	Primorsky Krai
primorye|russia	Primorsky Krai
primorskii|russia	Primorsky Krai
prikorskiy kray|russia	Primorsky Krai
sakhalin island|russia	Sakhalinskaya
stavropol`skiy kray|russia	Stavropol Krai
sverdlovsk oblast|russia	Sverdlovskaya
tjumen district|russia	Tyumenskaya
tumenskaya|russia	Tyumenskaya
tuva|russia	Tyva
ulyanovsk|russia	Ulyanovskaya
ul'yanovsk|russia	Ulyanovskaya
vladimir|russia	Vladimirskaya
volgograd env.|russia	Volgograd
vologda|russia	Volgograd
volgogradskaya|russia	Vologodskaya
volgogradskaya oblast|russia	Vologodskaya
yamalo-nenets autonomous okrug|russia	Yamal-Nenets Autonomous Okrug
yamal-nenets|russia	Yamal-Nenets Autonomous Okrug
chita oblast|russia	Zabaykalsky Krai
ouest|rwanda	Western
south africa|east cape	Eastern Cape
south africa|kwa-zulu natal	KwaZulu-Natal
south africa|limpopo prov.	Limpopo
south africa|n cape	Northern Cape
south africa|n. cape	Northern Cape
south africa|n. cape	Northern Cape
south africa|n.cape	Northern Cape
south africa|north cape	Northern Cape
south africa|nw. cape	Northern Cape
south africa|w. cape	Western Cape
south africa|wcp	Western Cape
andalucia|spain	Andalusia
prov. almeria|spain	Andalusia
andalucia|spain	Andalusia
andaluzia|spain	Andalusia
huesca|spain	Aragon
mallorca|spain	Balearic Islands
illes balears|spain	Balearic Islands
pais vasco|spain	Basque Country
castile and leon|spain	Castilla y Leon
castile-la mancha|spain	Castilla-La Mancha
com. valenciana|spain	Comunidad Valenciana
valencia-alicante|spain	Comunidad Valenciana
caceres, extremadura|spain	Extremadura
galizia|spain	Galicia
galizia, spain|spain	Galicia
sipalawini|suriname	Sipaliwini
dalarne|sweden	Dalarna
gastrikland|sweden	Gotland
lapland|sweden	Lappland
asele lappmark|sweden	Lappland
norrbottens lan|sweden	Norrbotten
norbotten|sweden	Norrbotten
skone|sweden	Skane
scania|sweden	Skane
ska|sweden	Skane
varmland|sweden	Varmland
vasternorrlands|sweden	Vasternorrland
canton geneva|switzerland	Geneva
geneve|switzerland	Geneva
lucerne|switzerland	Luzern
st. gallen|switzerland	Sankt Gallen
tessin|switzerland	Ticino
wallis|switzerland	Valais
vs|switzerland	Vaud
hualien|taiwan	Hualien County
kaohsiung|taiwan	Kaohsiung City
nantou xian|taiwan	Nantou County
nantou|taiwan	Nantou County
taipei|taiwan	New Taipei City
pingdong xian|taiwan	Pingtung County
taidong|taiwan	Taidong County
taibei city|taiwan	Taipei City
taoyuan|taiwan	Taoyuan County
yilan|taiwan	Yilan County
sughd province|tajikistan	Sughd
dar es salaam|tanzania	Dar-Es-Salaam
morongoro|tanzania	Morogoro
iringa|tanzania	Morogoro
chiang dao|thailand	Chiang Mai
phattalung|thailand	Phatthalung
patthalung|thailand	Phatthalung
prachuap kiri khan|thailand	Prachuap Khiri Khan
sakhon nakhon|thailand	Sakon Nakhon
ubon rathathani|thailand	Ubon Ratchathani
aydin ili|turkey	Aydin
aydÄ±n|turkey	Aydin
balÄ±kesir|turkey	Balikesir
burdur ili|turkey	Burdur
anatolia, erzincan|turkey	Erzincan
erzican|turkey	Erzincan
karamanmaras|turkey	Kahraman Maras
prov. konya|turkey	Konya
icel|turkey	Mersin
prov. tokat|turkey	Tokat
prov. van|turkey	Van
van ili|turkey	Van
eastern region|uganda	Eastern
ivano-frankivsk|ukraine	Ivano-Frankovsk
krim|ukraine	Krym
amazonasazonas|venezuela	Amazonas
ba ria - vung tau prov.|vietnam	Ba Ria-Vung Tau
dac lac prov.|vietnam	Dac Lac
da nang|vietnam	Dak Nong
hai phon prov.|vietnam	Hai Phong
lam dong prov.|vietnam	Lam Dong
lao cai province|vietnam	Lao Cai
vihn phu|vietnam	Vinh Phuc
vin phuc|vietnam	Vinh Phuc
copper belt province|zambia	North-Western
north western province|zambia	North-Western
parvan|afghanistan	Parwan
provbuenosaires|argentina	Buenos Aires
entrerÃ­os|argentina	Entre Rios
aveiro|argentina	Mendoza
rnegro|argentina	Rio Negro
rnegro|argentina	Rio Negro
neuquenrionegro|argentina	Rio Negro
rionegro|argentina	Rio Negro
sanluiz|argentina	San Luis
santacruz|argentina	Santa Cruz
kotayk|armenia	Kotayk'
sjunik|armenia	Syunik'
vayotsdzor|armenia	Vayots'Dzor
act|australia	Australian Capital Territory
nsw|australia	New South Wales
nt|australia	Northern Territory
qld|australia	Queensland
sa|australia	South Australia
tas|australia	Tasmania
vic|australia	Victoria
australia|australia	Western Australia
wa|australia	Western Australia
westaustralia|australia	Western Australia
neusiedlersee|austria	Burgenland
karnten|austria	Carinthia
nierderoesterreich|austria	Niederosterreich
niederoesterreich|austria	Niederosterreich
nierderoesterreich|austria	Niederosterreich
oberosterreich|austria	Oberoesterreich
upperaustria|austria	Oberoesterreich
steiermark|austria	Styria
tyrol|austria	Tirol
wien|austria	Vienna
nakhichevan|azerbaijan	Naxcivan
antwerpen|belgium	Antwerpen (Antwerp)
hainaut|belgium	Henegouwen (Hainaut)
namur|belgium	Namen (Namur)
oostvlaanderen|belgium	Oost-Vlaanderen (East Flanders)
vlaamsbrabant|belgium	Vlaams-Brabant (Flemish Brabant)
thimbu|bhutan	Thimpu
chuquisacaprovince|bolivia	Chuquisaca
lapazprov|bolivia	La Paz
lapazprovince|bolivia	La Paz
santacruzprov|bolivia	Santa Cruz
santacruzprov|bolivia	Santa Cruz
cochabambasantacruz|bolivia	Santa Cruz
am|brazil	Amazonas
amanzonas|brazil	Amazonas
ba|brazil	Bahia
federaldistrict|brazil	Distrito Federal
es|brazil	Espirito Santo
espiritosantos|brazil	Espirito Santo
goiais|brazil	Goias
matrogrosso|brazil	Mato Grosso
matogosso|brazil	Mato Grosso
coximms|brazil	Mato Grosso do Sul
pa|brazil	Para
pr|brazil	Parana
rs|brazil	Rio Grande do Sul
ro|brazil	Roraima
rr|brazil	Roraima
sc|brazil	Santa Catarina
sap|brazil	Sergipe
tocantis|brazil	Tocantins
smolyan|bulgaria	Sofiya
sofia|bulgaria	Sofiya
sofija|bulgaria	Sofiya
bantaeymenchay|cambodia	Banteay Mean Cheay
ratanakiri|cambodia	Rotanah Kiri
rotanÄƒhkiri|cambodia	Rotanah Kiri
southwest|cameroon	Sud-Ouest
baminguibangoranpr|centralafricanrepublic	Bamingui-Bangoran
laaraucania|chile	Araucania
viiiregion|chile	Biobio
xregion|chile	Los Lagos
margamarga|chile	Valparaiso
chongqing|china	Chongqing
fukienfujian|china	Fujian
lianhuashan|china	Gansu
guanxi|china	Guangxi
jiangxifujian|china	Jiangxi
quinghai|china	Qinghai
szechuansichuan|china	Sichuan
setschuan|china	Sichuan
yunan|china	Yunnan
antioquia|colombia	Antioquia
cundanimarca|colombia	Cundinamarca
cundinamarcadept|colombia	Cundinamarca
cundimarca|colombia	Cundinamarca
guajira|colombia	La Guajira
magdalenatal|colombia	Magdalena
quindio|colombia	Quindio
providencia|colombia	San Andres y Providencia
cordileracentral|colombia	Tolima
valle|colombia	Valle del Cauca
sanhose|costarica	San Jose
abijan|cotedivoire	Abidjan
lika|croatia	Lika-Senj
primorskogoranskazupanjia|croatia	Primorje-Gorski Kotar
gramna|cuba	Granma
sanctispiritus|cuba	Sancti-Spiritus
santiagidecuba|cuba	Santiago de Cuba
villacalara|cuba	Villa Clara
pafos|cyprus	Paphos
boh|czechrepublic	Central Bohemia
bohemia|czechrepublic	Southern Bohemia
moravia|czechrepublic	Southern Moravia
bohemia|czechrepublic	Usti nad Labem
kasai_oriental|democraticrepublicofthecongo	Kasai-Oriental
nordostsjÃ¦lland|denmark	Nordjylland
sjalland|denmark	Sjaelland
sjalland|denmark	Sjaelland
morona|ecuador	Morona-Santiago
moronasantiago|ecuador	Morona-Santiago
moronasantiago|ecuador	Morona-Santiago
sanrafael|ecuador	Napo
pinchincha|ecuador	Pichincha
zamora|ecuador	Zamora Chinchipe
zamorachinchipe|ecuador	Zamora Chinchipe
laaevirumaa|estonia	Laane-Virumaa
gondar|ethiopia	Gonder
enontekionlappi|finland	Lapland
llapland|finland	Lapland
northostrobothnia|finland	Northern Ostrobothnia
pohjoispohjanmaa|finland	Northern Ostrobothnia
bretagnefr|france	Brittany
bretagne|france	Brittany
bourgogne|france	Burgundy
champagneardennes|france	Champagne-Ardenne
korsika|france	Corsica
corse|france	Corsica
eure|france	Haute Normandie
iledefrance|france	Ile-de-France
iledefrancefr|france	Ile-de-France
llanguedocrousillon|france	Languedoc-Roussillon
meurtheetmoselle|france	Lorraine
midipyrenees|france	Midi-Pyrenees
midipyrenees|france	Midi-Pyrenees
pasdecalais|france	Nord-Pas-de-Calais
nordpasdecalais|france	Nord-Pas-de-Calais
mainandloire|france	Pays de la Loire
paysdelaloire|france	Pays de la Loire
