Original,Name,Country,Province
ANIMAL HEALTH AND VETERINARY LABORATORIES AGENCY,Animal Health and Veterinary Laboratories Agency,United Kingdom,England
University of South Alabama,University of South Alabama,United States,Alabama
Brigham & Women's Hospital,Brigham and Women's Hospital,United States,Massachusetts
EDLB-CDC,"Centers for Disease Control and Prevention, Enteric Diseases Laboratory",United States,Georgia
MIT Lincoln Laboratory,Massachusetts Institute of Technology Lincoln Laboratory,United States,Massachusetts
Wuhan University,Wuhan University,China,Hunan
Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch,"Centers for Disease Control and Prevention, Enteric Diseases Laboratory",United States,Georgia
Food and Drug Administration,Food and Drug Administration,United States,Maryland
National Institute of Standards and Technology,National Institute of Standards and Technology,United States,Maryland
FDA/CFSAN,"Food and Drug Administration, Center for Food Safety and Applied Nutrition",United States,Maryland
CFSAN,"Food and Drug Administration, Center for Food Safety and Applied Nutrition",United States,Maryland
"NATIONAL UNIVERSITY OF IRELAND, GALWAY",National University of Ireland,Ireland,Galway
WADSWORTH CENTER/NY DEPARTMENT OF HEALTH,"New York Department of Health, Wadsworth Center ",United States,New York
University pf Regina,University of Regina,Canada,Saskatchewan
INSTITUTE OF FOOD RESEARCH,Institute of Food Research,United Kingdom,England
NCBI,National Center for Biotechnology Information,United States,Maryland
Technische Universit’_t M’_nchen,Technical University of Munich,Germany,Bavaria
"The Wadsworth Center, NYSDOH","New York Department of Health, Wadsworth Center ",United States,New York
U.S. Department of Agriculture,United States Department of Agriculture,United States,
Technical University of Denmark,Technical University of Denmark,Denmark,Hovedstaden
FDA Center for Food Safety and Applied Nutrition,"Federal Drug Administration, Center for Food Safety and Applied Nutrition",United States,
McGill University,McGill University,Canada,Quebec
Beijing Agriculture University,China Agricultural University,China,Beijing Shi
Laboratory for Foodborne Zoonoses,National Microbiology Laboratory,Canada,Guelph
Centers for Disease Control and Prevention - Clinical and Environmental Branch,"Centers for Disease Control and Prevention, Clinical and Environmental Branch",United States,
"University of California, Irvine",University of California Irvine,United States,California
MDH,Minnesota Department of Health,United States,Minnesota
"University of Washington, Department of Microbiology, Miller Laboratory","University of Washington, Department of Microbiology, Miller Laboratory",United States,Washington
Roskilde University,Roskilde University,Denmark,Sjaelland
Wadsworth Center NYSDOH,"New York Department of Health, Wadsworth Center ",,
National Microbiology Laboratory,National Microbiology Laboratory,Canada,
Institute of Cotton Research of CAAS,"Chinese Academy of Agricultural Sciences, Institute of Cotton Research",China,
DSMZ,German Collection of Microorganisms and Cell Culture,Germany,
Los Alamos National Laboratory,Los Alamos National Laboratory,United States,New Mexico
Southwest University for Nationalities,Southwest University for Nationalities,China,Sichuan
Korea Research Institute of Bioscience and Biotech,Korea Research Institute of Bioscience and Biotechnology,Korea,
"WELFARE, DEPARTMENT OF INFECTIOUS DISEAS",,,
UNIVERSITY OF OXFORD,University of Oxford,United Kingdom,England
Robert Koch Institute,Robert Koch Institute,Germany,Berlin
"CIDM-Public Health, Institute of Clinical Pathology and Medical Research, Pathology West, NSW Health Pathology, Australia","Institute of Clinical Pathology and Medical Research, Centre for Infections Diseases and Microbiology Public Health",Australia,New South Wales
Microbiological Diagnostics Unit,,,
DOE Joint Genome Institute,Joint Genome Institute,United States,California
King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,Saudi Arabia,
Veterinary Research Institute,,,
National Microbiology Laboratory at Guelph,National Microbiology Laboratory,Canada,Guelph
